国文研書誌ID,公開時期,オープンデータ分類,書名（統一書名）,刊・写,原本請求記号,刊年・書写年,（西暦）,冊数等,(単位),Pages per Scan,Aspect,TitleHiragana,TitleRomanji,NrImages,Estimate
200018792,H29.12,政治・法制,安永武鑑,刊,ＭＹ－１２０１－１２２,安永２,1773,2,冊,2,Portrait,あんえいぶかん,aneibukan,281,True
200018794,H29.12,政治・法制,安永武鑑,刊,ＭＹ－１２０１－１２３,安永２～３,1773,,,2,Portrait,あんえいぶかん,aneibukan,46,True
200018795,H29.12,政治・法制,安永武鑑,刊,ＭＹ－１２０１－１２６,安永７,1778,,,2,Portrait,あんえいぶかん,aneibukan,382,False
200018796,H29.12,政治・法制,安永武鑑,刊,ＭＹ－１２０１－１２４,安永４,1775,1,冊,2,Portrait,あんえいぶかん,aneibukan,292,False
200018798,H29.12,政治・法制,安永武鑑,刊,ＭＹ－１２０１－１２５,安永６,1777,1,冊,2,Portrait,あんえいぶかん,aneibukan,51,True
200018799,H29.12,政治・法制,安永武鑑,刊,ＭＹ－１２０１－１２７,安永８,1779,1,冊,2,Portrait,あんえいぶかん,aneibukan,435,False
200018800,H29.12,政治・法制,安永武鑑,刊,ＭＹ－１２０１－１２８,安永９,1780,1,冊,2,Portrait,あんえいぶかん,aneibukan,109,False
200018801,H29.12,政治・法制,安永武鑑,刊,ＭＹ－１２０１－１２９,安永１０,1781,4,冊,2,Portrait,あんえいぶかん,aneibukan,434,False
200018803,H29.12,政治・法制,天明武鑑,刊,ＭＹ－１２０１－１３０,天明１,1781,1,冊,2,Portrait,てんめいぶかん,tenmeibukan,447,False
200018804,H29.12,政治・法制,天明武鑑,刊,ＭＹ－１２０１－１３１,天明２,1782,3,冊,2,Portrait,てんめいぶかん,tenmeibukan,399,False
200018809,H29.12,政治・法制,大成武鑑,刊,ＭＹ－１２０１－１３２,天明２,1782,4,冊,2,Portrait,たいせいぶかん,taiseibukan,475,False
200018810,H29.12,政治・法制,天明武鑑,刊,ＭＹ－１２０１－１３３,天明３,1783,1,冊,2,Portrait,てんめいぶかん,tenmeibukan,451,False
200018813,H29.12,政治・法制,天明武鑑,刊,ＭＹ－１２０１－１３４,天明３,1783,,,2,Portrait,てんめいぶかん,tenmeibukan,51,True
200018814,H29.12,政治・法制,天明武鑑,刊,ＭＹ－１２０１－１３８,天明８,1788,,,2,Portrait,てんめいぶかん,tenmeibukan,411,False
200018817,H29.12,政治・法制,天明武鑑,刊,ＭＹ－１２０１－１３５,天明５,1785,1,冊,2,Portrait,てんめいぶかん,tenmeibukan,463,False
200018820,H29.12,政治・法制,大成武鑑,刊,ＭＹ－１２０１－１３６,天明５,1785,4,冊,2,Portrait,たいせいぶかん,taiseibukan,478,False
200018822,H29.12,政治・法制,天明武鑑,刊,ＭＹ－１２０１－１３７,天明７,1787,1,冊,2,Portrait,てんめいぶかん,tenmeibukan,435,False
200018823,H27.11,政治・法制,寛政武鑑,刊,ＭＹ－１２０１－１３９,寛政1,1789,4,冊,2,Portrait,かんせいぶかん,kanseibukan,455,False
200018825,H27.11,政治・法制,寛政武鑑,刊,ＭＹ－１２０１－１４０,寛政3,1791,1,冊,2,Portrait,かんせいぶかん,kanseibukan,452,False
200018827,H29.12,政治・法制,寛政武鑑,刊,ＭＹ－１２０１－１４１,寛政５,1793,1,冊,2,Portrait,かんせいぶかん,kanseibukan,388,False
200018828,H29.12,政治・法制,寛政武鑑,刊,ＭＹ－１２０１－１４２,寛政７,1795,1,冊,2,Portrait,かんせいぶかん,kanseibukan,452,False
200018830,H27.11,政治・法制,寛政武鑑,刊,ＭＹ－１２０１－１４３,寛政8,1796,1,冊,2,Portrait,かんせいぶかん,kanseibukan,446,False
200018831,H27.11,政治・法制,寛政武鑑,刊,ＭＹ－１２０１－１４４,寛政9,1797,1,冊,2,Portrait,かんせいぶかん,kanseibukan,460,False
200018833,H27.11,政治・法制,寛政武鑑,刊,ＭＹ－１２０１－１４５,寛政10,1798,1,冊,2,Portrait,かんせいぶかん,kanseibukan,465,False
200018835,H27.11,政治・法制,寛政武鑑,刊,ＭＹ－１２０１－１４６,寛政11,1799,1,冊,2,Portrait,かんせいぶかん,kanseibukan,464,False
200018837,H29.12,政治・法制,享和武鑑,刊,ＭＹ－１２０１－１４７,享和１,1801,4,冊,2,Portrait,きょうわぶかん,kyōwabukan,473,False
200018838,H29.12,政治・法制,享和武鑑,刊,ＭＹ－１２０１－１４８,享和３,1803,1,冊,2,Portrait,きょうわぶかん,kyōwabukan,455,False
200018839,H27.11,政治・法制,享和武鑑,刊,ＭＹ－１２０１－１４９,享和4,1804,1,冊,2,Portrait,きょうわぶかん,kyōwabukan,463,False
200018840,H29.12,政治・法制,文化武鑑,刊,ＭＹ－１２０１－１５０,文化１,1804,4,冊,2,Portrait,ぶんかぶかん,bunkabukan,463,False
200018841,H27.11,政治・法制,文化武鑑,刊,ＭＹ－１２０１－１５１,文化2,1805,1,冊,2,Portrait,ぶんかぶかん,bunkabukan,466,False
200018842,H29.12,政治・法制,文化武鑑,刊,ＭＹ－１２０１－１５２,文化３,1806,4,冊,2,Portrait,ぶんかぶかん,bunkabukan,464,False
200018847,H29.12,政治・法制,文化武鑑,刊,ＭＹ－１２０１－１５３,文化４,1807,4,冊,2,Portrait,ぶんかぶかん,bunkabukan,463,False
200018853,H29.12,政治・法制,文化武鑑,刊,ＭＹ－１２０１－１５５,文化５,1808,3,冊,2,Portrait,ぶんかぶかん,bunkabukan,308,False
200018859,H29.12,政治・法制,文化武鑑,刊,ＭＹ－１２０１－１５６,文化６,1809,4,冊,2,Portrait,ぶんかぶかん,bunkabukan,468,False
200018861,H29.12,政治・法制,文化武鑑,刊,ＭＹ－１２０１－１５７,文化７,1810,1,冊,2,Portrait,ぶんかぶかん,bunkabukan,471,False
200018864,H29.12,政治・法制,文化武鑑,刊,ＭＹ－１２０１－１５８,文化８,1811,1,冊,2,Portrait,ぶんかぶかん,bunkabukan,470,False
200018866,H29.12,政治・法制,文化武鑑,刊,ＭＹ－１２０１－１５９,文化９,1812,1,冊,2,Portrait,ぶんかぶかん,bunkabukan,474,False
200018869,H29.12,政治・法制,文化武鑑,刊,ＭＹ－１２０１－１６０,文化１０,1813,1,冊,2,Portrait,ぶんかぶかん,bunkabukan,474,False
200018871,H29.12,政治・法制,文化武鑑,刊,ＭＹ－１２０１－１６１,文化１１,1814,1,冊,2,Portrait,ぶんかぶかん,bunkabukan,475,False
200018872,H29.12,政治・法制,文化武鑑,刊,ＭＹ－１２０１－１６２,文化１２,1815,1,冊,2,Portrait,ぶんかぶかん,bunkabukan,473,False
200018873,H29.12,政治・法制,文化武鑑,刊,ＭＹ－１２０１－１６３,文化１３,1816,1,冊,2,Portrait,ぶんかぶかん,bunkabukan,474,False
200018876,H29.12,政治・法制,文化武鑑,刊,ＭＹ－１２０１－１６４,文化１４,1817,1,冊,2,Portrait,ぶんかぶかん,bunkabukan,487,False
200018878,H29.12,政治・法制,文化武鑑,刊,ＭＹ－１２０１－１６５,文化１５,1818,1,冊,2,Portrait,ぶんかぶかん,bunkabukan,483,False
