国文研書誌ID,公開時期,オープンデータ分類,書名（統一書名）,TitleHiragana,TitleRomanji,刊・写,原本請求記号,刊年・書写年,（西暦）,冊数等,(単位),NrPages,Aspect,NrImages
200018825,H27.11,政治・法制,寛政武鑑,かんせいぶかん,kanseibukan,刊,ＭＹ－１２０１－１４０,寛政3,1791,1,冊,2,Portrait,452
200018827,H29.12,政治・法制,寛政武鑑,かんせいぶかん,kanseibukan,刊,ＭＹ－１２０１－１４１,寛政５,1793,1,冊,2,Portrait,388
200018828,H29.12,政治・法制,寛政武鑑,かんせいぶかん,kanseibukan,刊,ＭＹ－１２０１－１４２,寛政７,1795,1,冊,2,Portrait,452
200018830,H27.11,政治・法制,寛政武鑑,かんせいぶかん,kanseibukan,刊,ＭＹ－１２０１－１４３,寛政8,1796,1,冊,2,Portrait,446
200018831,H27.11,政治・法制,寛政武鑑,かんせいぶかん,kanseibukan,刊,ＭＹ－１２０１－１４４,寛政9,1797,1,冊,2,Portrait,460
200018833,H27.11,政治・法制,寛政武鑑,かんせいぶかん,kanseibukan,刊,ＭＹ－１２０１－１４５,寛政10,1798,1,冊,2,Portrait,465
200018835,H27.11,政治・法制,寛政武鑑,かんせいぶかん,kanseibukan,刊,ＭＹ－１２０１－１４６,寛政11,1799,1,冊,2,Portrait,464
200018837,H29.12,政治・法制,享和武鑑,きょうわぶかん,kyōwabukan,刊,ＭＹ－１２０１－１４７,享和１,1801,4,冊,2,Portrait,473
200018838,H29.12,政治・法制,享和武鑑,きょうわぶかん,kyōwabukan,刊,ＭＹ－１２０１－１４８,享和３,1803,1,冊,2,Portrait,455
200018839,H27.11,政治・法制,享和武鑑,きょうわぶかん,kyōwabukan,刊,ＭＹ－１２０１－１４９,享和4,1804,1,冊,2,Portrait,463
200018840,H29.12,政治・法制,文化武鑑,ぶんかぶかん,bunkabukan,刊,ＭＹ－１２０１－１５０,文化１,1804,4,冊,2,Portrait,463
200018841,H27.11,政治・法制,文化武鑑,ぶんかぶかん,bunkabukan,刊,ＭＹ－１２０１－１５１,文化2,1805,1,冊,2,Portrait,466
200018842,H29.12,政治・法制,文化武鑑,ぶんかぶかん,bunkabukan,刊,ＭＹ－１２０１－１５２,文化３,1806,4,冊,2,Portrait,464
200018847,H29.12,政治・法制,文化武鑑,ぶんかぶかん,bunkabukan,刊,ＭＹ－１２０１－１５３,文化４,1807,4,冊,2,Portrait,463
200018850,H29.12,政治・法制,文化武鑑,ぶんかぶかん,bunkabukan,刊,ＭＹ－１２０１－１５４,,,1,冊,2,Portrait,160
200018853,H29.12,政治・法制,文化武鑑,ぶんかぶかん,bunkabukan,刊,ＭＹ－１２０１－１５５,文化５,1808,3,冊,2,Portrait,308
200018859,H29.12,政治・法制,文化武鑑,ぶんかぶかん,bunkabukan,刊,ＭＹ－１２０１－１５６,文化６,1809,4,冊,2,Portrait,468
200018861,H29.12,政治・法制,文化武鑑,ぶんかぶかん,bunkabukan,刊,ＭＹ－１２０１－１５７,文化７,1810,1,冊,2,Portrait,471
200018864,H29.12,政治・法制,文化武鑑,ぶんかぶかん,bunkabukan,刊,ＭＹ－１２０１－１５８,文化８,1811,1,冊,2,Portrait,470
200018866,H29.12,政治・法制,文化武鑑,ぶんかぶかん,bunkabukan,刊,ＭＹ－１２０１－１５９,文化９,1812,1,冊,2,Portrait,474
200018869,H29.12,政治・法制,文化武鑑,ぶんかぶかん,bunkabukan,刊,ＭＹ－１２０１－１６０,文化１０,1813,1,冊,2,Portrait,474
200018871,H29.12,政治・法制,文化武鑑,ぶんかぶかん,bunkabukan,刊,ＭＹ－１２０１－１６１,文化１１,1814,1,冊,2,Portrait,475
200018872,H29.12,政治・法制,文化武鑑,ぶんかぶかん,bunkabukan,刊,ＭＹ－１２０１－１６２,文化１２,1815,1,冊,2,Portrait,473
200018873,H29.12,政治・法制,文化武鑑,ぶんかぶかん,bunkabukan,刊,ＭＹ－１２０１－１６３,文化１３,1816,1,冊,2,Portrait,474
200018876,H29.12,政治・法制,文化武鑑,ぶんかぶかん,bunkabukan,刊,ＭＹ－１２０１－１６４,文化１４,1817,1,冊,2,Portrait,487
200018878,H29.12,政治・法制,文化武鑑,ぶんかぶかん,bunkabukan,刊,ＭＹ－１２０１－１６５,文化１５,1818,1,冊,2,Portrait,483
200018881,H29.12,政治・法制,文政武鑑,ぶんせいぶかん,bunseibukan,刊,ＭＹ－１２０１－１６６,文政２,1819,1,冊,2,Portrait,483
